	α15.2,α46.4,α48.4,α51.5,α51.6,α20.4,α15.2.1,α46.4.1,α48.4.1,α51.5.1,α51.6.1,α20.4.1
bSNP748,0.0192784601981992,0.191510899721637,0.139070801217506,0.143704423534958,0.0074733811249898,0.0252729618091435,0.0536616054168558,0.266772676746904,0.202823438432708,0.195320539504678,0.0350568522629805,-0.0012782404210518
bSNP749,0.0177936770645616,0.876789856175353,0.673767995203977,0.646034089634955,0.0631852128197881,0.0053321899137509,0.0603377606088673,0.814086883132514,0.664408071294345,0.61087411989182,0.143689576952093,-9.50402649735338e-05
bSNP750,0.892690759616016,0.0555877023018531,0.05737560081732,0.131157665696198,0.0551220295762903,0.325200233806207,0.879634604876344,0.0517541061084484,0.053381281266875,0.124746266551731,0.0718116791549334,0.220848934690137
bSNP753,0.0601731893421854,0.878355086035447,0.891217562878983,0.887777438555453,0.89805310411278,0.011642399148112,0.0737205394246184,0.862315985484824,0.850047178052931,0.872393845027435,0.866013305382563,0.0195174268052665
bSNP758,0.0679085104285858,0.0309048106383066,0.0298475366539285,0.0120641567605112,0.0466178933146709,0.0101007427524953,0.0576793606865605,0.0250614485653695,0.0404962035752864,0.0306875783376486,0.0408562197868817,-0.0220870044879182
bSNP760,0.90100626779367,0.390509763995199,0.375619374329904,0.213501026773864,0.0298090748477592,0.0391417237188999,0.89394247950527,0.432934040781148,0.394784009887459,0.259035881789215,0.0975682966597424,0.0201802265490596
bSNP765,0.907868637288626,0.0365632940133252,0.0324001265971655,0.0324883612315457,0.0324365271217582,0.0109136501536686,0.891382276500018,0.0766355459346959,0.086380824445282,0.0786492842458999,0.0761992511770404,-0.00062581118034255
bSNP767,0.0507663255133115,0.916267377261918,0.804265743456363,0.897331603640253,0.0938410909760906,0.000216319818418853,0.0915843111672199,0.860066206225082,0.443898875438142,0.647201664933581,0.171704610675671,0.0033202500601426
bSNP773,0.151966599444022,0.075431129827632,0.0379677511277487,0.0783917141919163,0.0466274102942669,0.0112983608749804,0.165259709859195,0.0667381945380795,0.038228646345891,0.0521954742629838,0.0487626194738288,0.0125750146439619
bSNP774,0.165538819708503,0.208904520839436,0.19687606884907,0.193457311970411,0.190800154574777,0.0301683685596364,0.0571270902326745,0.153585314697973,0.144929144569937,0.160041082252609,0.163680578735856,0.0112208585849171
bSNP781,0.051909618158817,0.0403094107500932,0.0232481034948456,0.0058377417868104,0.0166114425573539,0.0183689786331406,0.0770622872947162,0.0681108765727511,0.0767389381875357,0.0586943179232025,0.0826632493260149,-0.0138959513930123
bSNP783,0.0435535536607974,0.0538867810167599,0.0455056858235032,0.0331574109726493,0.0480640108946271,0.0189118591323342,0.0820130280240374,0.0678509742860321,0.070268929784055,0.051039096206163,0.0608195633567538,-0.0014523401743413
bSNP786,0.793569340988241,0.258507583085688,0.231205556551121,0.307230752600634,0.225585857361608,0.001694329190638,0.792538119309457,0.215955115916002,0.234510954450398,0.300977250314101,0.234207953113687,-0.0157766484583856
bSNP787,0.238174731893715,0.0926412292276221,0.100342636811963,0.083262933653696,0.0401756984629591,0.0326656113430537,0.21095573552078,0.0907721134711861,0.100518357317081,0.0906084443545063,0.0681011928597428,-0.028593451022749
bSNP789,0.894258352396271,0.0296316001040854,0.0973478561297472,0.120038578865623,0.0814146408380016,0.023836543895237,0.872301111196722,0.0373266069343349,0.0693415689683589,0.126499251852048,0.0967910371792299,0.0165221687962059
bSNP794,0.492774022614109,0.122827691945359,0.168472372147039,0.0943841435335441,0.0483330045841113,0.0394375105914528,0.500962204775011,0.125624614691673,0.153105264112767,0.136016653906077,0.0803828182198314,0.0221880372349194
bSNP796,0.907638163349345,0.0303004457615202,0.0700866315599006,0.018154922188762,0.0491555062682748,0.0293744040085521,0.877588901507773,0.0550841883446947,0.0907776118850723,0.0445827809101665,0.0938134208051764,0.0157249727865604
bSNP800,0.200446636811417,0.008761556239304,0.0229182755080473,-0.0298956301115991,0.0243713320581215,0.0054539676284917,0.220168586752639,0.0445890288080113,0.0317783166687419,0.0095120515856648,0.0738087786702529,-0.0120180706949244
bSNP810,0.413280411244653,0.898950222183702,0.385168574991543,0.768036226159636,0.0554218318487772,0.011091045042039,0.392767896209526,0.662544439071567,0.474345863777702,0.892128350131808,0.0826891924597408,0.0080021683291805
bSNP811,0.894795106602874,0.310463517896328,0.322929923525825,0.440752126078,0.206267298677164,0.0408989150956832,0.878188713311624,0.229529423100888,0.265256212861236,0.286341312439835,0.254874129171807,-0.0093471854193809
bSNP812,0.906879229033678,0.90189026572898,0.543045448025603,0.489378696436922,0.0787799701973158,0.0236614924013285,0.869726116610464,0.861164212809528,0.809937019121358,0.719402815157206,0.113280710376488,0.007335682618395
bSNP814,0.510703488053693,0.103883298117582,0.134745896019643,0.0891930242373351,0.077983866964638,0.0090901753113906,0.548349649418593,0.128155348549911,0.147265110431423,0.0980099009151089,0.1030358072517,0.0174488652492648
bSNP815,0.105986229157152,0.0083730465538669,0.0967067137470859,0.0297675778168581,0.0960690369673267,0.0058091924394119,0.0957110005849734,0.0355204079886999,0.0845148469117659,0.0374967244654237,0.109492641901278,0.0143899468499423
bSNP818,0.0772564130690236,0.0198096588697148,0.0761864005329437,0.0036662260595453,0.0589649157426818,0.0291794526389141,0.10097752913428,0.0222106709150363,0.0895005850533149,0.0331265035811342,0.0971439263946796,-0.0222190791036751
