adk	gyrB	mdh	recA	purA	fumC	icd	MLST_type
bSNP2014	14	10	17	10	7	14	200	1193
bSNP2015	6	12	20	7	13	4	1	23
bSNP2016	53	47	36	29	28	40	13	131
bSNP2017	53	47	36	29	28	40	13	131
bSNP2018	6	32	11	44	8	29	16	156
bSNP2019	92	87	70	2	58	4	96	648
bSNP2020	49	44	11	7	35	4	9	120
bSNP2022	53	47	36	29	28	40	13	131
bSNP2023	101	262	59	196	215	88	281	2141
bSNP2024	21	27	5	4	5	35	6	69
bSNP2025	92	87	70	2	58	4	96	648
bSNP2026	6	12	20	7	18	4	1	410
bSNP2027	38	84	17	34	30	24	13	919
bSNP2028	53	47	36	29	28	40	13	131
bSNP2029	101	97	26	2	79	88	108	457
bSNP2030	13	9	16	9	10	13	13	12
bSNP2031	53	47	36	29	28	40	13	131
bSNP2032	6	12	20	7	12	4	1	88
bSNP2033	53	47	36	29	28	40	13	131
bSNP2034	53	47	36	29	28	40	13	131
bSNP2035	13	13	128	92	94	43	14	969
bSNP2036	101	97	70	2	158	4	29	1722
bSNP2037	53	47	36	29	28	40	13	131
bSNP2038	4	2	5	19	5	26	25	38
bSNP2039	6	12	20	7	12	4	1	88
bSNP2040	53	47	36	29	28	40	13	131
bSNP2042	53	47	36	29	28	40	13	131
bSNP2043	21	27	5	4	5	35	6	69
bSNP2044	34	249	28	4	16	36	25	4040
bSNP2045	53	47	36	29	28	40	13	131
bSNP2046	13	9	16	9	10	13	13	12
bSNP2047	10	5	8	2	7	99	91	361
bSNP2048	54	2	5	95	5	22	27	991
bSNP2049	53	47	36	29	28	40	13	131
bSNP2050	6	33	11	6	8	4	16	224
bSNP2051	53	47	36	29	28	40	13	131
bSNP2052	6	12	20	7	18	4	1	410
bSNP2054	53	47	36	29	28	40	13	131
bSNP2055	13	9	16	9	10	13	13	12
bSNP2057	53	47	36	29	28	40	13	131
bSNP2058	10	5	96	2	8	27	10	4121
bSNP2059	6	12	20	7	12	4	1	88
bSNP2060	53	47	36	29	28	40	13	131
bSNP2061	92	87	70	2	58	4	96	648
bSNP2062	21	27	5	4	5	35	6	69
bSNP2063	4	2	5	19	5	26	25	38
bSNP2064	53	47	36	29	28	40	13	131
bSNP2065	92	87	70	2	58	231	96	1485
bSNP2066	43	15	11	6	7	41	18	101
bSNP2067	53	47	36	29	28	40	13	131
bSNP2068	21	27	5	4	565	35	6	7401
bSNP2069	6	4	7	6	8	165	10	773
bSNP2070	13	10	17	93	94	363	97	2622
bSNP2071	4	2	5	19	5	26	25	38
bSNP2072	21	27	5	4	5	35	6	69
bSNP2073	53	47	36	29	28	40	13	131
bSNP2074	53	47	36	29	28	40	13	131
bSNP2075	53	47	36	29	28	40	13	131
bSNP2076	53	47	36	29	28	40	13	131
bSNP2077	53	47	36	29	28	40	13	131
bSNP2078	53	47	36	29	28	40	13	131
bSNP2079	53	47	36	29	28	40	13	131
bSNP2080	62	17	5	4	5	100	31	362
bSNP2081	53	47	36	29	28	40	13	131
bSNP2082	13	9	16	9	10	13	13	12
bSNP2083	53	47	36	29	28	40	13	131
bSNP2084	53	47	36	29	28	40	13	131
bSNP2085	53	47	36	29	28	40	13	131
bSNP2086	53	47	36	29	28	40	13	131
bSNP2087	21	27	5	4	5	35	6	69
bSNP2088	53	47	36	29	28	40	13	131
bSNP2089	53	47	36	29	28	40	13	131
bSNP2090	53	47	36	29	28	40	13	131
bSNP2091	53	47	36	29	28	40	13	131
bSNP2092	85	78	59	62	58	88	29	354
bSNP2093	53	47	36	29	28	40	13	131
bSNP2094	53	47	36	29	28	40	13	131
bSNP2095	53	47	36	29	28	40	13	131
bSNP2096	4	2	5	19	5	26	25	38
bSNP2097	53	47	36	29	28	40	13	131
bSNP2098	6	4	24	14	8	4	16	58
bSNP2099	4	2	5	19	5	26	25	38
bSNP2100	14	10	17	10	7	14	200	1193
bSNP2101	36	9	17	25	11	24	13	73
bSNP2102	21	27	5	4	5	35	6	69
bSNP2103	53	47	36	29	28	40	13	131
bSNP2104	53	47	36	29	28	40	13	131
bSNP2105	53	47	36	29	28	40	13	131
bSNP2106	53	47	36	29	28	40	13	131
bSNP2107	53	47	36	29	28	40	13	131
bSNP2108	53	47	36	29	28	40	13	131
bSNP2109	53	47	36	29	28	40	13	131
bSNP2110	6	12	20	7	18	4	1	410
